"LEMAIRE, Henri"; 
"MEISTER, Jacob"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"PIGAULT-LEBRUN, Charles-Antoine-Guillaume"; 
"PIGAULT-LEBRUN, Charlcs-Antoine-Guillaume"; 
"PIGAULT-LEBRUN, Charles-Antoine-Guillaume"; 
"PIGAULT-LEBRUN, Charles-Antoine-Guillaume"; 
"PIGAULT-LEBRUN, Charles-Antoine-Guillaume"; 
"PILKINGTON, Mary"; 
"PRATT, Samuel Jackson"; 
"REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe"; 
"REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe"; 
"REGNAULT-WARIN, Jean-Baptiste-Joseph-Innocent-Philadelphe"; 
"SEWRIN, Charles-Augustin de"; 
"SICKELMORE, Richard"; 
"SOLLIER, Pierre"; 
"SPIESS, Christian Heinrich"; 
"SUREMAIN, Louise-Marie Melchior"; 
"WALKER, George"; 
"WEST, Jane"; 
"WEST, Jane"; 
"WIELAND, Christoph Martin"; 
"BAHRDT, Cari Friedrich"; 
"BLANCHARD, PierTe"; 
"BLANCHARD, Pierre"; 
"BLANCHARD, Pierre"; 
"BRANDON, Isaac"; 
"BRAYER DE SAINT-LEON, Louise-Marguerite-Jeanne-Madelcine"; 
"BRUNO, Louis de"; 
"CASTELNAU, marquis Gabriel de"; 
"COIFFIER DE VERSEUX, Henri-Louis"; 
"COMPAGNONI, Giuseppe"; 
"DAMIN, Louis"; 
"DESFORGES, Pierre-Jean-Baptiste Choudard Adelphine de"; 
"DIANNYERE, Antoine"; 
"DORVIGNY, Louis-Archambault"; 
"DORVIGNY, Louis-Archambault"; 
"DORVIGNY, Louis-Archambault"; 
"FLORIAN, Jean-Pierre"; 
"FOX, John"; 
"FULCHIRON, Jean-Claude"; 
"GODWIN, William"; 
"GOETHE, Johann Wolfgang von"; 
"GOSSE, Etienne"; 
"GRANDMAJSON VAN ESBECQ, madame"; 
"HAYS, Mary"; 
"HAYWOOD, Eliza"; 
"HEINSE, Johann Jacob Wilhelm"; 
"HELME, Elizabeth"; 
"KING, Sophia"; 
"LA GRAVE, comtesse de"; 
"LEE, Harriet"; 
"CAMP AN, Dominique"; 
"COVENTRY, Francis"; 
"CROCE, Giulio Cesare"; 
"FYOT DE LA MARCHE, Jean-Philippe"; 
"LACOSTE, Jean-Baptiste"; 
"LA PLACE, Pierre-Antoine de"; 
"LUBERT, mademoiselle de"; 
"LUBERT, mademoiselle de"; 
"MAUBERT DE GOUVEST, Jean-Henri"; 
"STANISLAS I, roi de Pologne"; 
"VILLENEUVE, Gabrielle-Suzanne Barbot de"; 
"GIMAT DE BONNEVAL, Jean-Baptiste"; 
"ARBUTHNOT, John"; 
"MAILHOL, Gabriel"; 
"MOET, Jean-Pierre"; 
"SMOLLETT, Tobias"; 
"VILLENEUVE, Gabrielle-Suzanne Barbot de"; 
"BERINGTON, Simon"; 
"BOUDIER DE VILLEMERT, Pierre-Joseph"; 
"BARET, Paul"; 
"CLELAND, John"; 
"CREBILLON, Claude-Prosper Jolyot de"; 
"GELLERT, Christian Furchtegott"; 
"HAYWOOD, Eliza"; 
"HAYWOOD, Eliza"; 
"LA PLACE, Pierre-Antoine de"; 
"LE CAMUS, Antoine"; 
"LEPRINCE DE BEAUMONT, madame Marie"; 
"MAGNY, Jean-Baptiste-Michel"; 
"MARESCOT, Michel"; 
"MAUBERT DE GOUVEST, Jean-Henri"; 
"MAUBERT DE GOUVEST, Jean-Henri"; 
"MAUBERT DE GOUVEST, Jean-Henri"; 
"MERAY, chevalier de"; 
"SAURIN, Bernard-Joseph"; 
"VILLENEUVE, Gabrielle-Suzanne Barbot de"; 
"DUCLOS, chevalier"; 
"FAGNAN, Marie-Antoinette"; 
"GUER, Julien-Hyacinthe de n"; 
"GUYS, Jean-Baptiste"; 
"LA BEAUMELLE, Laurent Angliviel de"; 
"LINGUET, Simon-Nicolas-Henri"; 
"LUBERT, mademoiselle de"; 
"MAILHOL, Gabriel"; 
"MARCILLY, Laurent"; 
"MARESCOT, Michel"; 
"MARESCOT, Michel"; 
"RICHARDSON, Samuel"; 
"DESBIEFS, Louis"; 
"DESBIEFS, Louis"; 
"DUCLOS, chevalier"; 
"DU TERRAIL, Joseph"; 
"LECORVAISIER, Pierre-Jean"; 
"LEPRINCE DE BEAUMONT, madame Marie"; 
"LESCALOPIER DE NOURAR, Charles-Armand"; 
"MAGNY, Jean-Baptiste-Michel"; 
"QUEVEDO Y VILLEGAS, Francisco Gomez de"; 
"THOREL DE CAMPIGNEULLES, Charles-Claude Florent de"; 
"BARET, Paul"; 
"GOUDAR, Ange"; 
"ROUSSEAU, Jean-Jacques"; 
"SANDRAS DE COURTILZ, Catien de"; 
"TASSONI, Alessandro"; 
"ALGAROTTI, comte Francesco"; 
"BENOUVILLE, madame de"; 
"BRICAIRE DE LA DIXMERIE, Nicolas"; 
"FALQUES, Marianne-Agnes"; 
"LEPRINCE DE BEAUMONT, madame Marie"; 
"MARCHAND, Jean-Henri"; 
"NOLIVOS SAINT-CYR, Paul-Antoine"; 
"YON, le chevalier"; 
"BRICAIRE DE LA DIXMERIE, Nicolas"; 
"GESSNER, Salomon"; 
"HACOT, Joseph"; 
"JOHNSON, Samuel"; 
"LA GUESNERIE, Charlotte-Marie-Anne Charbonnier de"; 
"LEPRINCE DE BEAUMONT, madame Marie"; 
"LESUIRE, Robert-Martin"; 
"MARCHAND, Jean-Henri"; 
"MEUSNIER DE QUERLON, Anne-Gabriel"; 
"THOREL DE CAMPIGNEULLES, Charles-Claude Florent de"; 
"LEVESQUE, Pierre-Charles"; 
"MERAY, chevalier de"; 
"NEUFVILLE DE BRUNABOIS-MONTADOR, chevalier Jean- Florent-Joseph de"; 
"PON A, Francesco"; 
"ROUSSEAU, Jean-Jacques"; 
"SACY, Claude-Louis-Michel de"; 
"SELIS, Nicolas-Joseph"; 
"SMOLLETT, Tobias"; 
"TACONNET, Toussaint-Gaspard"; 
"DEFOE, Daniel"; 
"DORAT, Claude-Joseph"; 
"FIELDING, Henry"; 
"GESSNER, Salomon"; 
"KIMBER, Edward"; 
"MACPHERSON, James"; 
"ROUSSEAU, Jean-Jacques"; 
"TRESSAC DE VERGY, Pierre-Henri"; 
"BARET, Paul n"; 
"BEAURIEU, Gaspard"; 
"CAZOTTE, Jacques"; 
"COOPER, Maria Susanna"; 
"CREBILLON, Claude-Prosper Jolyot de"; 
"FIELDING, Henry"; 
"FIELDING, Sarah"; 
"GOLDSMITH, Oliver"; 
"HAWKESWORTH, John"; 
"LICHTWEHR, Magnus Gottfried"; 
"PALTOCK, Robert"; 
"THOREL DE CAMPIGNEULLES, Charles-Claude Florent de"; 
"UNCY, mademoiselle c"; 
"BARET, Paul"; 
"BILLARDON DE SAUVIGNY, Louis-Edmc"; 
"BROOKE, Frances Moore"; 
"DIGARD DE KERGUETTE, Jean"; 
"GESSNER, Salomon"; 
"GOUDAR, Ange"; 
"GRIVEL, Guillaume"; 
"LANGHORNE, John"; 
"LEPRINCE DE BEAUMONT, madame Marie"; 
"LESSING, Gotthold Ephraim"; 
"MAILHOL, Gabriel"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"POPE, Alexander"; 
"VILLENEUVE, de"; 
"ZACHARIAE, Friedrich Wilhelm"; 
"BILLARDON DE SAUVIGNY, Louis-Edme Histoire amoureuse de Pierre"; 
"HILL, sir John"; 
"KIMBER, Edward"; 
"LANGHORNE, John"; 
"LEPRINCE DE BEAUMONT, madame Marie"; 
"MAILHOL, Gabriel"; 
"MATON, Alexis"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"SACY, Claude-Louis-Michel de"; 
"SAINT-AUBIN, madame"; 
"THOREL DE CAMPIGNEULLES, Charles-Claude-Florent de"; 
"BODIN DE BOISMORTIER, Suzanne"; 
"CERFVOL, de"; 
"DE FOE, Daniel"; 
"DELACROIX, Jacques-Vincent"; 
"FRAMERY, Nicolas-Etienne"; 
"LEFEBVRE DE BEAUVRAY, Claude-Rigobert"; 
"LEPRINCE DE BEAUMONT, madame Marie"; 
"MAILHOL, Gabriel"; 
"MARESCOT, Michel"; 
"MOLINE, Pierre-Louis"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"RIDLEY, James"; 
"SMYTHIES, miss"; 
"SMYTHIES, miss"; 
"ARTAUD, Jean-Baptiste"; 
"CAZOTTE, Jacques"; 
"COSTARD, Jean-Pierre"; 
"DELACROIX, Jacques-Vincent"; 
"DELACROIX, Jacques-Vincent"; 
"GAUTIER DE MONTDORGE, Antoine"; 
"GIRAUD, Claude-Marie"; 
"GOLDSMITH, Oliver"; 
"JOHNSTON, Charles"; 
"LEPRINCE DE BEAUMONT, madame Marie"; 
"MARCHAND, Jean-Henri"; 
"MARCHAND, Jean-Henri"; 
"PFEIL, Johann Gottlob Benjamin"; 
"SACY, Claude-Louis-Michel de"; 
"SMYTHIES, miss"; 
"WALPOLE, Horace"; 
"BILLARDON DE SAUVIGNY, Louis-Edme"; 
"BORDE, Charles"; 
"BRUSSEL, Pierre"; 
"CHARPENTIER, Louis"; 
"CHIARI, Pietro"; 
"DUBOIS-FONTANELLE, Joseph-Gaspard"; 
"FIELDING, Henry"; 
"FONTENELLE, Bernard"; 
"GAIN DE MONTAGNAC, Louis-Laurent-Joseph"; 
"LABOUREYS, madame de"; 
"LA GUESNERIE, Charlotte-Marie-Anne Charbonnier de"; 
"LA PLACE, Pierre-Antoine de"; 
"LAUS DE BOISSY, Louis de"; 
"LEBRET, Alexis-Jean"; 
"MILLY, mademoiselle de"; 
"SACY, Claude-Louis-Michel de"; 
"THOREL DE CAMPIGNEULLES, Charles-Claude Florent de"; 
"VILLENEUVE, Gabrielle-Suzanne Barbot de"; 
"WIELAND, Christoph Martin"; 
"WIELAND, Christoph Martin"; 
"BARTHE, Nicolas-Thomas"; 
"BECCARY, madame"; 
"BRICAIRE DE LA DIXMERIE, Nicolas n"; 
"CASTILHON, Jean"; 
"CASTILHON, Jean-Louis"; 
"CHARPENTIER, Louis"; 
"COMPAN, Charles"; 
"COMPAN, Charles"; 
"DAMIENS DE GOMICOURT, Auguste-Pierre"; 
"DELACROIX, Jacques-Vincent"; 
"FRENAIS, Joseph-Pierre"; 
"GAUTIER DE MONTDORGE, Antoine"; 
"GIRAUD, Claude-Marie n"; 
"GUNNING, Suzannah"; 
"JOHNSTON, Charles"; 
"KLOPSTOCK, Friedrich Gottlieb"; 
"LACROIX, Pierre-Firmin de"; 
"LESBROS DE LA VERSANE, Louis"; 
"MARCHAND, Jean-Henri"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"ROUSSELOT DE SURGY, Jacques-Philibert"; 
"SACY, Claude-Louis-Michel de"; 
"SIRET, PierTe-Louis"; 
"STERNE, Laurence"; 
"STEVENS, John"; 
"WIELAND, Christoph Martin"; 
"BEAUCLAIR, Pierre-Louis de"; 
"BEAUMANOIR, de"; 
"BECCARY, madame"; 
"BROOKE, Frances Moore"; 
"CASTILHON, Jean"; 
"CASTILHON, Jean"; 
"CASTILHON, Jean"; 
"CASTILHON, Jean-Louis"; 
"CASTILHON, Jean-Louis"; 
"CHARPENTIER, Louis"; 
"CHINIAC DE LA BASTIDE DU CLAUX, Pierre de"; 
"DES ESSARTS, chevalier"; 
"DORAT, Claude-Joseph"; 
"DUBOIS-FONTANELLE, Joseph-Gaspard"; 
"FALCONET, Ambroise"; 
"FRAMERY, Nicolas-Etienne"; 
"GILBERT, Nicolas-Joseph-Laurent"; 
"GRIFFITH, Mrs Elizabeth"; 
"GRIFFITH, Mrs Elizabeth"; 
"HAYWOOD, Eliza"; 
"HAYWOOD, Eliza"; 
"HAYWOOD, Eliza"; 
"KORN, Christoph Heinrich"; 
"LEPRINCE DE BEAUMONT, madame Marie"; 
"LESBROS DE LA VERSANE, Louis"; 
"MOLINE, Pierre-Louis"; 
"POTTER, John"; 
"STICOTTI, Antoine-Fabio"; 
"DORAT, Claude-Joseph"; 
"GARNIER, Charles-Georgcs-Thomas"; 
"LAUS DE BOISSY, Louis de et"; 
"LOEN, Johann Michael von"; 
"MACPHERSON, James et des AUTEURS INCONNUS et"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"VERNES, Jacques"; 
"WIELAND, Christoph Martin"; 
"WIELAND, Christoph Martin"; 
"WIELAND, Christoph Martin"; 
"ZACHARIAE, Friedrich Wilhelm"; 
"ZIEGLER UND KLIPHAUSEN, Heinrich Anselm von"; 
"BRET, Antoine"; 
"BUTEL-DUMONT, Georges-Marie"; 
"CARRA, Jean-Louis"; 
"CAZOTTE, Jacques"; 
"DORAT, Claude-Joseph"; 
"HALLER, Albrecht von"; 
"LA PLACE, Pierre-Antoine de"; 
"MONNET, Jean"; 
"POINSINET DE SIVRY, Louis"; 
"ZAYAS Y SOTOMAYOR, Dofia"; 
"ALGAROTTI, comte Francesco"; 
"BONHOTE, Mrs Elizabeth"; 
"BRICAIRE DE LA DIXMERIE, Nicolas"; 
"COMPAN, Charles"; 
"GILBERT, Nicolas-Joseph-Laurent"; 
"KELLY, Hugli"; 
"LAISSE, madame de"; 
"LA PLACE, Pierre-Antoine de"; 
"LECLERC, Louis-Claude"; 
"PRATT, Samuel Jackson"; 
"WIELAND, Christoph Martin"; 
"HAWKESWORTH, John"; 
"LAISSE, madame de"; 
"LEPRINCE DE BEAUMONT, madame Marie"; 
"MACPHERSON, James"; 
"RETIF DE LA BRETONNE, Nicolas-Edme"; 
"BOUTET DE MONVEL, Jacques-Marie"; 
"ARIOSTO, Lodovico"; 
"CAYLUS, Anne-Gaude-Philippe de"; 
